Sample_ID	WWTP_ID	Site_ID	Site_Name	Sampling_Date	Latitude	Longitude	City Name	Country/Region	Continent	Climate type	Annual average	Annual mean of daily maximum	Annual mean of daily minimum	Sampling month average	Sampling moment	Annual	Sampling month	GDP per capita (dollars)	City population	Year_Built	Designed capacity (m3/d)	Actual Inf rate (m3/d)	Volume of aeration tanks (m3)	HTR_plant	HTR_aeration_tank	SRT	A5_general_type	A5_detailed	Nitrificaiton	Denitrification	Aerator_type	BOD_Inf	BOD_inf/(1+recycle ratio)	BOD_Aeration tank inf	BOD_eff	COD_Inf	COD_inf/(1+recycle ratio)	COD_Aeration tank inf	COD_eff	F/M (kg BOD/kg MLSS-d)	NH4_Inf	NH4_Aeration tank inf	NH4_Eff	NH4_Inf	TN_Aeration tank inf	TN_Eff	TP_Inf	TP_Aeration tank inf	TP_eff	IndWaste_Contained in Inf?	IndWaste_Percentage	MLSS (mg/l)	DO (mg/l)	pH	Mixed liquid temperature (oC)	Conductivity (_S/cm)	NH4-N (mg/l)	NO3-N (mg/l)	SVI (ml/g)
SAPN3	SAPN1	SADB	Durban	42116	-29.702788	31.0048384	Durban	South Africa	Africa	Cfa	21	29	13	23	NA	975	70	12884	3796000	NA	25000	24000	7066	13.5	13.5	25	A2O	MLE (with tapered surface aeration)	Yes	Yes	NA	NA	NA	NA	NA	450	225	NA	55	NA	50.87	52.87	4	NA	NA	NA	4.41	NA	1.36	No	0	NA	1.52	7.15	23.18	NA	NA	NA	NA
SAPN4	SAPN1	SADB	Durban	42116	-29.702788	31.0048384	Durban	South Africa	Africa	Cfa	21	29	13	23	NA	975	70	12884	3796000	NA	25000	24000	7066	13.5	13.5	25	A2O	MLE (with tapered surface aeration)	Yes	Yes	NA	NA	NA	NA	NA	450	225	NA	55	NA	50.87	53.87	4	NA	NA	NA	4.41	NA	1.36	No	0	NA	1.52	7.15	23.18	NA	NA	NA	NA
SAPN5	SAPN1	SADB	Durban	42116	-29.702788	31.0048384	Durban	South Africa	Africa	Cfa	21	29	13	23	NA	975	70	12884	3796000	NA	25000	24000	7066	13.5	13.5	25	A2O	MLE (with tapered surface aeration)	Yes	Yes	NA	NA	NA	NA	NA	450	225	NA	55	NA	50.87	54.87	4	NA	NA	NA	4.41	NA	1.36	No	0	NA	1.74	7.15	23.18	NA	NA	NA	NA
SAPN6	SAPN1	SADB	Durban	42116	-29.702788	31.0048384	Durban	South Africa	Africa	Cfa	21	29	13	23	NA	975	70	12884	3796000	NA	25000	24000	7066	13.5	13.5	25	A2O	MLE (with tapered surface aeration)	Yes	Yes	NA	NA	NA	NA	NA	450	225	NA	55	NA	50.87	55.87	4	NA	NA	NA	4.41	NA	1.36	No	0	NA	1.74	7.15	23.18	NA	NA	NA	NA
SADP1	SADP1	SANE	Pretoria	42116	-25.7362381	28.1828928	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	NA	42000	40000	3000	NA	NA	11	A2O	3-stage Phoredox with surface aeration	NA	NA	NA	NA	NA	NA	NA	389	182.629108	286	38	NA	22	28	4	39	NA	NA	5	5.6	0.2	No	0	NA	0.98	6.98	22	NA	NA	NA	NA
SADP2	SADP1	SANE	Pretoria	42116	-25.7362381	28.1828928	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	NA	42000	40000	3000	NA	NA	11	A2O	3-stage Phoredox with surface aeration	NA	NA	NA	NA	NA	NA	NA	389	182.629108	286	38	NA	22	28	4	39	NA	NA	5	5.6	0.2	No	0	NA	0.87	6.98	22	NA	NA	NA	NA
SADP3	SADP1	SANE	Pretoria	42116	-25.7362381	28.1828928	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	NA	42000	40000	3000	NA	NA	11	A2O	3-stage Phoredox with surface aeration	NA	NA	NA	NA	NA	NA	NA	389	182.629108	286	38	NA	22	28	4	39	NA	NA	5	5.6	0.2	No	0	NA	0.95	6.98	22	NA	NA	NA	NA
SADP4	SADP1	SANE	Pretoria	42116	-25.7362381	28.1828928	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	NA	42000	40000	3000	NA	NA	11	A2O	3-stage Phoredox with surface aeration	NA	NA	NA	NA	NA	NA	NA	389	182.629108	286	38	NA	22	28	4	39	NA	NA	5	5.6	0.2	No	0	NA	1.1	6.98	22	NA	NA	NA	NA
SADP5	SADP1	SANE	Pretoria	42116	-25.7362381	28.1828928	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	NA	42000	40000	3000	NA	NA	11	A2O	3-stage Phoredox with surface aeration	NA	NA	NA	NA	NA	NA	NA	389	182.629108	286	38	NA	22	28	4	39	NA	NA	5	5.6	0.2	No	0	NA	0.97	6.98	22	NA	NA	NA	NA
SADP6	SADP1	SANE	Pretoria	42116	-25.7362381	28.1828928	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	NA	42000	40000	3000	NA	NA	11	A2O	3-stage Phoredox with surface aeration	NA	NA	NA	NA	NA	NA	NA	389	182.629108	286	38	NA	22	28	4	39	NA	NA	5	5.6	0.2	No	0	NA	1	6.98	22	NA	NA	NA	NA
SAZK1	SAZK1	SANE	Pretoria	42105	-25.5355278	28.4526795	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	1991	85000	56100	20000	NA	NA	20	A2O	3-stage Phoredox with diffused aeration; interchangeable (UCT/MUCT/JHB)	NA	NA	NA	NA	NA	NA	NA	496	232.8638498	267	32	NA	23	21	0.6	38	NA	1.4	5	4.5	0.2	Yes	0.1	NA	0.8	7.2	22	NA	NA	NA	NA
SAZK2	SAZK1	SANE	Pretoria	42105	-25.5355278	28.4526795	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	1991	85000	56100	20000	NA	NA	20	A2O	3-stage Phoredox with diffused aeration; interchangeable (UCT/MUCT/JHB)	NA	NA	NA	NA	NA	NA	NA	496	232.8638498	267	32	NA	23	21	0.6	38	NA	1.4	5	4.5	0.2	Yes	0.1	NA	0.8	7.2	22	NA	NA	NA	NA
SAZK3	SAZK1	SANE	Pretoria	42105	-25.5355278	28.4526795	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	1991	85000	56100	20000	NA	NA	20	A2O	3-stage Phoredox with diffused aeration; interchangeable (UCT/MUCT/JHB)	NA	NA	NA	NA	NA	NA	NA	496	232.8638498	267	32	NA	23	21	0.6	38	NA	1.4	5	4.5	0.2	Yes	0.1	NA	0.97	7.2	22	NA	NA	NA	NA
SAZK4	SAZK1	SANE	Pretoria	42105	-25.5355278	28.4526795	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	1991	85000	56100	20000	NA	NA	20	A2O	3-stage Phoredox with diffused aeration; interchangeable (UCT/MUCT/JHB)	NA	NA	NA	NA	NA	NA	NA	496	232.8638498	267	32	NA	23	21	0.6	38	NA	1.4	5	4.5	0.2	Yes	0.1	NA	0.97	7.2	22	NA	NA	NA	NA
SAZK5	SAZK1	SANE	Pretoria	42105	-25.5355278	28.4526795	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	1991	85000	56100	20000	NA	NA	20	A2O	3-stage Phoredox with diffused aeration; interchangeable (UCT/MUCT/JHB)	NA	NA	NA	NA	NA	NA	NA	496	232.8638498	267	32	NA	23	21	0.6	38	NA	1.4	5	4.5	0.2	Yes	0.1	NA	1.2	7.2	22	NA	NA	NA	NA
SAZK6	SAZK1	SANE	Pretoria	42105	-25.5355278	28.4526795	Pretoria	South Africa	Africa	Cwb	21	28	5	17	NA	697	48	16696	2991600	1991	85000	56100	20000	NA	NA	20	A2O	3-stage Phoredox with diffused aeration; interchangeable (UCT/MUCT/JHB)	NA	NA	NA	NA	NA	NA	NA	496	232.8638498	267	32	NA	23	21	0.6	38	NA	1.4	5	4.5	0.2	Yes	0.1	NA	1.2	7.2	22	NA	NA	NA	NA
CNBJ1AA	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3794	4.6	6.66	25.8	511	NA	NA	NA
CNBJ1AB	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3794	4.4	6.66	25.9	556	NA	NA	NA
CNBJ1AC	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3794	1.35	6.7	26.5	520	NA	NA	NA
CNBJ1BA	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4300	2.1	6.46	26	815	NA	NA	NA
CNBJ1BB	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4300	0.2	6.62	25.5	825	NA	NA	NA
CNBJ1BC	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4300	0.4	6.57	26.3	823	NA	NA	NA
CNBJ1CA	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7002	0.3	6.45	27	961	NA	NA	NA
CNBJ1CB	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7002	3.6	6.52	27.2	918	NA	NA	NA
CNBJ1CC	CNBJ1	CNBJ	Beijing	41851	40.042203	116.356862	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	2002	200000	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7002	4.3	6.55	27.1	949	NA	NA	NA
CNBJ2A	CNBJ2	CNBJ	Beijing	41851	40.008492	116.430848	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	1990	40000	NA	NA	9.77	7.5	NA	complete mix	Complete mix	Yes	Yes	NA	280	NA	NA	16	550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	0.05	9886	1.8	6.44	27.8	952	NA	NA	NA
CNBJ2B	CNBJ2	CNBJ	Beijing	41851	40.008492	116.430848	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	1990	40000	NA	NA	9.77	7.5	NA	complete mix	Complete mix	Yes	Yes	NA	280	NA	NA	16	550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	0.05	9886	3.1	6.53	28	949	NA	NA	NA
CNBJ2C	CNBJ2	CNBJ	Beijing	41851	40.008492	116.430848	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	195	23390	21639100	1990	40000	NA	NA	9.77	7.5	NA	complete mix	Complete mix	Yes	Yes	NA	280	NA	NA	16	550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	0.05	9886	0.3	6.58	28	921	NA	NA	NA
CNBJ3A	CNBJ3	CNBJ	Beijing	41852	39.895727	116.529684	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190	23390	21639100	1993	500000	490000	80352	15.3	8.38	5	plug flow	Plug flow	Yes	No	NA	175	102.9411765	NA	9	450	264.7058824	NA	29.5	0.333493566	26	26	NA	35	35	NA	3.42	3.42	NA	No	0	3200	2.09	7.17	26.3	870	NA	NA	NA
CNBJ3B	CNBJ3	CNBJ	Beijing	41852	39.895727	116.529684	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190	23390	21639100	1993	500000	490000	80352	15.3	8.38	5	plug flow	Plug flow	Yes	No	NA	175	102.9411765	NA	9	450	264.7058824	NA	29.5	0.333493566	26	26	NA	35	35	NA	3.42	3.42	NA	No	0	3200	6.36	7.05	26.1	849	NA	NA	NA
CNBJ3C	CNBJ3	CNBJ	Beijing	41852	39.895727	116.529684	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190	23390	21639100	1993	500000	490000	80352	15.3	8.38	5	plug flow	Plug flow	Yes	No	NA	175	102.9411765	NA	9	450	264.7058824	NA	29.5	0.333493566	26	26	NA	35	35	NA	3.42	3.42	NA	No	0	3200	6.28	7.17	26.2	846	NA	NA	NA
CNBJ4A	CNBJ4	CNBJ	Beijing	41852	39.825675	116.431806	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190	23390	21639100	2005	600000	690000	166750	13.67	6.67	12.3	plug flow	Plug flow	Yes	Yes	NA	220	110	NA	5	450	225	NA	30	0.327462168	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	2780	0.77	7.08	26.9	1172	NA	NA	NA
CNBJ4B	CNBJ4	CNBJ	Beijing	41852	39.825675	116.431806	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190	23390	21639100	2005	600000	690000	166750	13.67	6.67	12.3	plug flow	Plug flow	Yes	Yes	NA	220	110	NA	5	450	225	NA	30	0.327462168	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	2780	1.24	6.99	27.3	1141	NA	NA	NA
CNBJ4C	CNBJ4	CNBJ	Beijing	41852	39.825675	116.431806	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190	23390	21639100	2005	600000	690000	166750	13.67	6.67	12.3	plug flow	Plug flow	Yes	Yes	NA	220	110	NA	5	450	225	NA	30	0.327462168	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	2780	3.92	7.04	26.7	1111	NA	NA	NA
CNBJ5AA	CNBJ5	CNBJ	Beijing	41852	39.923209	116.116699	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190	23390	21639100	2010	40000	26700	10000	12	6	10	plug flow	Plug flow	Yes	Yes	NA	NA	NA	NA	NA	200	100	NA	25	NA	25	NA	0.1	45	NA	25	3	NA	0.8	Yes	NA	3368	0.63	6.89	27	885	NA	NA	NA
CNBJ5AB	CNBJ5	CNBJ	Beijing	41852	39.923209	116.116699	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190	23390	21639100	2010	40000	26700	10000	12	6	10	plug flow	Plug flow	Yes	Yes	NA	NA	NA	NA	NA	200	100	NA	25	NA	25	NA	0.1	45	NA	25	3	NA	0.8	Yes	NA	3368	0.45	6.93	27	881	NA	NA	NA
