,phylo0,S,lat.abs,Latitude.Google,Temperature,hemi
CNWX3BB,328.06242,2434,31.492407,31.492407,17.77777778,North
CNWX3BC,331.3012,2415,31.492407,31.492407,17.77777778,North
CNWX4A,408.98836,3022,31.528375,31.528375,17.77777778,North
CNWX4B,420.96064,3056,31.528375,31.528375,17.77777778,North
CNWX4C,417.7574,3007,31.528375,31.528375,17.77777778,North
CNCQ1A,328.3126,2528,29.549619,29.549619,18.33333333,North
CNCQ1B,322.2622,2512,29.549619,29.549619,18.33333333,North
CNCQ1C,335.97657,2611,29.549619,29.549619,18.33333333,North
CNCQ2A,376.75293,2905,29.597864,29.597864,18.33333333,North
CNCQ2B,374.44596,2861,29.597864,29.597864,18.33333333,North
CNCQ2C,416.03871,3167,29.597864,29.597864,18.33333333,North
CNCQ3A,356.39657,2543,29.439108,29.439108,18.33333333,North
CNCQ3B,364.51029,2699,29.439108,29.439108,18.33333333,North
CNCQ3C,411.39772,3221,29.439108,29.439108,18.33333333,North
CNCQ4A,409.04879,3094,29.47143,29.47143,18.33333333,North
CNCQ4B,395.49611,3005,29.47143,29.47143,18.33333333,North
CNCQ4C,398.6223,2987,29.47143,29.47143,18.33333333,North
CNCS1A,360.49796,2605,28.277192,28.277192,18.33333333,North
CNCS1B,381.21458,2855,28.277192,28.277192,18.33333333,North
CNCS1C,361.78326,2627,28.277192,28.277192,18.33333333,North
CNCS2A,334.49314,2453,28.24702,28.24702,18.33333333,North
CNCS2B,311.6273,2284,28.24702,28.24702,18.33333333,North
CNCS2C,329.80661,2407,28.24702,28.24702,18.33333333,North
CNCS3AA,400.8197,2990,28.248374,28.248374,18.33333333,North
CNCS3AB,407.68022,2950,28.248374,28.248374,18.33333333,North
CNCS3AC,416.83282,3058,28.248374,28.248374,18.33333333,North
CNCS3BA,413.89149,3030,28.248374,28.248374,18.33333333,North
